configuration,exact_action_accuracy,unsafe_automation_rate,unsafe_execution_rate,severe_unsafe_execution_rate,appropriate_escalation_recall,safe_automation_coverage,over_escalation_rate,automation_rate,human_review_rate,abstention_rate,self_repair_rate,execute_rate,unsafe_self_repair_rate,severe_unsafe_automation_rate
Full HumanGate-Q,0.744,0.40046838407494145,0.09694793536804308,0.0,0.876296117675428,0.9003516998827668,0.09964830011723329,0.2562,0.1434,0.6004,0.1448,0.1114,0.6339779005524862,0.02029664324746292
Without reliability,0.662,0.5427927927927928,0.25,0.01939655172413793,0.7675428020255607,0.9519343493552169,0.04806565064478312,0.3552,0.057,0.5878,0.1696,0.1856,0.8632075471698113,0.06024774774774775
Without predictive uncertainty,0.72,0.47733160621761656,0.16853932584269662,0.0012484394506866417,0.8222811671087533,0.9460726846424384,0.053927315357561546,0.3088,0.101,0.5902,0.1486,0.1602,0.8102288021534321,0.040803108808290155
Without structural shift,0.7424,0.4029503105590062,0.09803921568627451,0.0,0.8748492886423921,0.9015240328253223,0.0984759671746776,0.2576,0.1432,0.5992,0.1454,0.1122,0.6382393397524071,0.021739130434782608
Without explicit shift flag,0.744,0.40046838407494145,0.09694793536804308,0.0,0.876296117675428,0.9003516998827668,0.09964830011723329,0.2562,0.1434,0.6004,0.1448,0.1114,0.6339779005524862,0.02029664324746292
Without both shift pathways,0.7424,0.4029503105590062,0.09803921568627451,0.0,0.8748492886423921,0.9015240328253223,0.0984759671746776,0.2576,0.1432,0.5992,0.1454,0.1122,0.6382393397524071,0.021739130434782608
Without verification,0.7212,0.4534470504619758,0.2691751085383502,0.0,0.8461538461538461,0.9015240328253223,0.0984759671746776,0.2814,0.1266,0.592,0.1432,0.1382,0.6312849162011173,0.0255863539445629
Without resource risk,0.7408,0.4093701996927803,0.10052910052910052,0.0,0.8714733542319749,0.9015240328253223,0.0984759671746776,0.2604,0.1418,0.5978,0.147,0.1134,0.6476190476190476,0.02534562211981567
Without criticality,0.697,0.5150784077201448,0.29575892857142855,0.0,0.7940680009645527,0.9425556858147714,0.05744431418522861,0.3316,0.0784,0.59,0.1524,0.1792,0.7729658792650919,0.03558504221954162
Without interactions,0.6964,0.5006313131313131,0.24,0.0,0.8087774294670846,0.9273153575615475,0.07268464243845252,0.3168,0.0954,0.5878,0.1768,0.14,0.7070135746606335,0.037247474747474744
