policy,metric,estimate,ci_lower,ci_upper
Fully Autonomous,unsafe_execution_rate,0.8294,0.819885,0.8406199999999999
Fully Autonomous,human_review_rate,0.0,0.0,0.0
Fully Autonomous,appropriate_escalation_recall,0.0,0.0,0.0
Fully Autonomous,safe_automation_coverage,1.0,1.0,1.0
Always Human,unsafe_execution_rate,0.0,0.0,0.0
Always Human,human_review_rate,1.0,1.0,1.0
Always Human,appropriate_escalation_recall,1.0,1.0,1.0
Always Human,safe_automation_coverage,0.0,0.0,0.0
Confidence Only,unsafe_execution_rate,0.6076923076923076,0.5862604884296061,0.6310776607545414
Confidence Only,human_review_rate,0.1254,0.11639,0.134105
Confidence Only,appropriate_escalation_recall,0.7523510971786834,0.7393996381734175,0.76515440934863
Confidence Only,safe_automation_coverage,0.7772567409144197,0.7526902051256332,0.8036750422254121
Criticality Only,unsafe_execution_rate,0.7361197754210854,0.7151625578362089,0.7577073777336706
Criticality Only,human_review_rate,0.6794,0.6666949999999999,0.690905
Criticality Only,appropriate_escalation_recall,0.7154569568362672,0.7030145872268926,0.7285168992310812
Criticality Only,safe_automation_coverage,0.4958968347010551,0.46527917340653235,0.5274281122817694
Verifier Only,unsafe_execution_rate,0.7092250922509226,0.6925610204476462,0.7261378626048713
Verifier Only,human_review_rate,0.371,0.359,0.38493499999999997
Verifier Only,appropriate_escalation_recall,0.5365324330841572,0.5222743089643738,0.5505550895040225
Verifier Only,safe_automation_coverage,0.9237983587338804,0.9071254441555887,0.9420965792150012
HumanGate-Q,unsafe_execution_rate,0.09694793536804308,0.07607417131604857,0.12712425489639512
HumanGate-Q,human_review_rate,0.1434,0.1324,0.153905
HumanGate-Q,appropriate_escalation_recall,0.876296117675428,0.8658020968834748,0.8860708374344286
HumanGate-Q,safe_automation_coverage,0.9003516998827668,0.8786785379568884,0.9202981101770656
