feature,importance
number_of_qubits,0.7787297302121731
entangling_gates,0.06020040205222858
three_qubit_gates,0.05238405270635165
single_qubit_gates,0.013063674793324322
gate_ry,0.012474274527361065
gate_cz,0.01151702768043245
total_operations,0.009432398404549526
gate_rx,0.008325914461164964
parameterized_gates,0.007483298029847367
depth,0.006507776913914224
gate_sdg,0.006471324391762024
gate_h,0.005545927156270262
gate_cx,0.005409878790741796
gate_sx,0.004368016703460624
gate_swap,0.0042457965454858184
two_qubit_gates,0.0028840119489066127
gate_x,0.0024467280665978566
gate_cp,0.0016252211657496953
gate_t,0.0015868534360892932
gate_z,0.0015651802077145164
gate_rz,0.0014588000918279384
gate_y,0.0012540449063764276
gate_s,0.0010196668076698984
width,0.0
gate_ccx,0.0
measurement_gates,0.0
number_of_classical_bits,0.0
gate_measure,0.0
