rank,repair,human_review,abstain,high_stakes_review,direct_low_probability_abstain,high_stakes_criticality,exact_action_accuracy,unsafe_automation_rate,unsafe_execution_rate,severe_unsafe_execution_rate,appropriate_escalation_recall,safe_automation_coverage,over_escalation_rate,automation_rate,human_review_rate,abstention_rate,self_repair_rate,execute_rate,feasible,constraint_violation,selected
1,0.24,0.46,0.72,0.34,0.68,0.85,0.7441666666666666,0.38413685847589424,0.08303249097472924,0.0,0.8747464503042597,0.9252336448598131,0.07476635514018691,0.2679166666666667,0.15541666666666668,0.5766666666666667,0.1525,0.11541666666666667,True,0.0,True
2,0.24,0.46,0.76,0.34,0.68,0.85,0.7425,0.38413685847589424,0.08303249097472924,0.0,0.8747464503042597,0.9252336448598131,0.07476635514018691,0.2679166666666667,0.16125,0.5708333333333333,0.1525,0.11541666666666667,True,0.0,False
3,0.24,0.46,0.8,0.34,0.68,0.85,0.7420833333333333,0.38413685847589424,0.08303249097472924,0.0,0.8747464503042597,0.9252336448598131,0.07476635514018691,0.2679166666666667,0.16416666666666666,0.5679166666666666,0.1525,0.11541666666666667,True,0.0,False
4,0.24,0.48,0.72,0.34,0.68,0.85,0.7416666666666667,0.39203675344563554,0.08303249097472924,0.0,0.8701825557809331,0.927570093457944,0.07242990654205607,0.27208333333333334,0.15125,0.5766666666666667,0.15666666666666668,0.11541666666666667,True,0.0,False
5,0.24,0.46,0.72,0.34,0.72,0.85,0.74125,0.38413685847589424,0.08303249097472924,0.0,0.8747464503042597,0.9252336448598131,0.07476635514018691,0.2679166666666667,0.15833333333333333,0.57375,0.1525,0.11541666666666667,True,0.0,False
6,0.24,0.48,0.76,0.34,0.68,0.85,0.74,0.39203675344563554,0.08303249097472924,0.0,0.8701825557809331,0.927570093457944,0.07242990654205607,0.27208333333333334,0.15708333333333332,0.5708333333333333,0.15666666666666668,0.11541666666666667,True,0.0,False
7,0.24,0.48,0.8,0.34,0.68,0.85,0.7395833333333334,0.39203675344563554,0.08303249097472924,0.0,0.8701825557809331,0.927570093457944,0.07242990654205607,0.27208333333333334,0.16,0.5679166666666666,0.15666666666666668,0.11541666666666667,True,0.0,False
8,0.24,0.46,0.72,0.34,0.76,0.85,0.7395833333333334,0.38413685847589424,0.08303249097472924,0.0,0.8747464503042597,0.9252336448598131,0.07476635514018691,0.2679166666666667,0.16166666666666665,0.5704166666666667,0.1525,0.11541666666666667,True,0.0,False
9,0.24,0.46,0.76,0.34,0.72,0.85,0.7391666666666666,0.38413685847589424,0.08303249097472924,0.0,0.8747464503042597,0.9252336448598131,0.07476635514018691,0.2679166666666667,0.16458333333333333,0.5675,0.1525,0.11541666666666667,True,0.0,False
10,0.24,0.48,0.72,0.34,0.72,0.85,0.73875,0.39203675344563554,0.08303249097472924,0.0,0.8701825557809331,0.927570093457944,0.07242990654205607,0.27208333333333334,0.15416666666666667,0.57375,0.15666666666666668,0.11541666666666667,True,0.0,False
